date, min, max, pm25, q1, q3, stdev, count
2020/11/14, 0.2, 19.88, 1.9, 1.3, 3.37, 3.836, 309
2020/11/15, 0.1, 19.7, 2.29, 0.68, 5.89, 3.924, 269
2020/11/16, 0, 3.03, 0.4, 0.1, 0.76, 0.621, 260
2020/11/17, 0, 3.38, 0.3, 0.1, 0.8, 0.623, 283
2020/11/18, 0, 1.83, 0.4, 0.15, 0.68, 0.356, 334
2020/11/19, 0.2, 27.95, 0.93, 0.65, 1.5, 1.64, 335
2020/11/20, 0, 9.57, 0.74, 0.3, 1.94, 1.691, 340
2020/11/21, 0, 11.85, 0.6, 0.4, 1.19, 1.016, 288
2020/11/22, 0.08, 2.63, 0.56, 0.38, 0.98, 0.495, 279
2020/11/23, 0.1, 4.03, 0.49, 0.3, 1.07, 0.93, 252
2020/11/24, 0, 4.22, 0.55, 0.2, 1.27, 0.766, 259
2020/11/25, 0.1, 8.1, 0.93, 0.5, 1.66, 1.243, 269
2020/11/26, 0.1, 14.75, 0.7, 0.5, 1.1, 1.074, 262
2020/11/27, 0.2, 10.55, 1.4, 0.88, 2.13, 1.413, 255
2020/11/28, 0.6, 14.23, 2.27, 1.62, 3.19, 1.56, 257
2020/11/29, 2, 127.1, 4.28, 3.63, 5.05, 10.1, 257
2020/11/30, 0, 10.38, 1.4, 0.73, 4.88, 2.31, 231
2020/12/01, 0.13, 7.5, 1.2, 0.73, 2.88, 1.474, 228
2020/12/02, 0.2, 5.68, 0.97, 0.6, 1.5, 1.195, 246
2020/12/03, 0, 12.18, 0.65, 0.2, 1.32, 2.143, 217
2020/12/04, 0, 6.63, 1.8, 0.7, 2.7, 1.35, 239
2020/12/05, 0.2, 9.44, 1.9, 1.08, 2.8, 1.399, 227
2020/12/06, 0.63, 145.55, 2.38, 1.58, 4.32, 9.203, 308
2020/12/07, 0.1, 300.92, 2.85, 0.99, 3.58, 18.383, 273
2020/12/08, 0.1, 8.07, 1.3, 0.63, 3.78, 2.322, 263
2020/12/09, 0.3, 9.3, 1.39, 0.8, 2.17, 1.476, 240
2020/12/10, 0.45, 7.1, 2.04, 1.45, 3.37, 1.381, 245
2020/12/11, 0.7, 5.4, 2.72, 2.1, 3.45, 0.966, 291
2020/12/12, 0.65, 5.05, 2.25, 1.75, 2.89, 0.859, 293
2020/12/13, 0.17, 7.72, 1.94, 1.38, 2.95, 1.412, 284
2020/12/14, 0.22, 8.18, 1.9, 1.17, 3.63, 1.844, 262
2020/12/15, 0.3, 21.92, 1.3, 0.9, 2.21, 1.595, 281
2020/12/16, 0.1, 7.32, 3.1, 2.22, 3.97, 1.466, 287
2020/12/17, 0.13, 3.6, 1.1, 0.72, 1.6, 0.749, 261
2020/12/18, 0.4, 6.5, 2.16, 1.5, 3.09, 1.09, 280
2020/12/19, 0, 6.22, 1.17, 0.65, 1.9, 1.018, 268
2020/12/20, 0.22, 3.47, 1.17, 0.85, 1.6, 0.591, 281
2020/12/21, 0.2, 8.19, 1.42, 0.73, 2.33, 1.285, 274
2020/12/22, 0, 7.07, 0.4, 0.2, 0.99, 1.139, 265
2020/12/23, 0.1, 5.65, 0.8, 0.5, 1.08, 0.658, 281
