date, pm25, pm10, o3, no2, so2, co
2024/1/10, 18, 5, , 7, , 
2024/1/11, 9, 4, , 8, , 
2024/1/12, 16, 4, , 8, , 
2024/1/13, 12, 4, , 6, , 
2024/1/14, 9, 6, , 32, , 
2024/1/15, 11, 7, , 13, , 
2024/1/16, 10, 5, , 15, , 
2024/1/17, 11, 5, , 13, , 
2024/1/18, 12, 5, , 5, , 
2024/1/19, 11, 3, , 4, , 
2024/1/20, 8, 4, , 2, , 
2024/1/21, 9, 7, , 4, , 
2024/1/22, 19, 10, , 8, , 
2024/1/23, 24, 11, , 5, , 
2024/1/24, 30, 6, , 7, , 
2024/1/25, 15, 6, , 6, , 
2024/1/26, 14, 7, , 3, , 
2024/1/27, 17, 14, , 2, , 
2024/1/28, 26, 9, , 10, , 
2024/1/29, 19, 7, , 11, , 
2024/1/30, 16, 7, , 4, , 
2024/1/31, 14, 8, , 4, , 
2024/2/1, 19, 3, , 2, , 
2024/2/2, 6, 9, , 2, , 
2024/2/3, 23, 3, , 3, , 
2024/2/4, 10, 10, , 2, , 
2024/2/5, 21, 5, , 5, , 
2024/2/6, 10, 6, , 14, , 
2024/2/7, 14, 25, , 11, , 
2024/2/8, 22, 8, , , , 
2024/2/9, 16, 8, , 3, , 
2024/2/10, 16, 11, , 8, , 
2024/2/11, 27, 5, , 6, , 
2024/2/12, 9, 9, , 5, , 
2024/2/13, 20, 7, , , , 
2024/2/14, 22, 5, , , , 
2024/2/15, 16, 4, , , , 
2024/2/16, 10, 3, , , , 
2024/2/17, 8, 9, , , , 
2024/2/18, 23, 13, , , , 
2024/2/19, 33, 13, , , , 
2024/2/20, 23, 8, , , , 
2024/2/21, 18, 4, , , , 
2024/2/22, 7, 4, , , , 
2024/2/23, 8, 5, , , , 
2024/2/24, 16, 6, , , , 
2024/2/25, 22, 6, , , , 
2024/2/26, 10, 13, , , , 
2024/2/27, 20, 10, , , , 
2024/2/28, 23, 8, , 2, , 
2024/2/29, 15, 18, , 5, , 
2024/3/1, 21, 5, , 15, , 
2024/3/2, 16, 3, , 8, , 
2024/3/3, 9, 22, , 9, , 
2024/3/4, 28, 24, , 8, , 
2024/3/5, 27, 25, , 9, , 
2024/3/6, 49, 39, , 8, , 
2024/3/7, 60, 36, , 2, , 
2024/3/8, 54, 39, , , , 
2024/3/9, 70, 32, , , , 
2024/3/10, 74, 22, , 3, , 
2024/3/11, 53, 19, , 9, , 
2024/3/12, 46, 4, , 5, , 
2024/3/13, 8, 6, , 7, , 
2024/3/14, 13, 4, , 7, , 
2024/3/15, 8, 4, , 12, , 
2024/3/16, 12, 4, , 9, , 
2024/3/17, 12, 12, , 7, , 
2024/3/18, 14, 13, , 7, , 
2024/3/19, 20, 11, , 9, , 
2024/3/20, 28, 13, , 8, , 
2024/3/21, 29, 10, , 3, , 
2024/3/22, 23, 7, , 2, , 
2024/3/23, 18, 6, , 4, , 
2024/3/24, 14, 17, , 2, , 
2024/3/25, 25, 13, , 2, , 
2024/3/26, 12, 11, , 8, , 
2024/3/27, 18, 12, , 4, , 
2024/3/28, 25, 5, , 9, , 
2024/3/29, 11, 4, , 9, , 
2024/3/30, 10, 9, , 4, , 
2024/3/31, 22, 20, , 1, , 
2023/10/1, 13, 9, , 7, , 
2023/10/2, 19, 8, , 5, , 
2023/10/3, 17, 6, , 5, , 
2023/10/4, 16, 6, , 10, , 
2023/10/5, 9, 5, , 5, , 
2023/10/6, 10, 4, , , , 
2023/10/7, 7, 7, , 6, , 
2023/10/8, 16, 5, , 8, , 
2023/10/9, 9, 12, , 5, , 
2023/10/10, 20, 11, , 5, , 
2023/10/11, 21, 7, , 9, , 
2023/10/12, 11, 8, , 5, , 
2023/10/13, 16, 7, , 3, , 
2023/10/14, 15, 5, , 5, , 
2023/10/15, 12, 9, , 16, , 
2023/10/16, 15, 16, , 12, , 
2023/10/17, 30, 47, , 5, , 
2023/10/18, 47, 22, , 3, , 
2023/10/19, 34, 19, , , , 
2023/10/20, 38, 9, , 3, , 
2023/10/21, 17, 4, , 8, , 
2023/10/22, 11, 10, , 12, , 
2023/10/23, 23, 9, , 5, , 
2023/10/24, 19, 9, , 4, , 
2023/10/25, 15, 10, , 5, , 
2023/10/26, 15, 12, , 3, , 
2023/10/27, 21, 13, , 1, , 
2023/10/28, 23, 17, , , , 
2023/10/29, 33, 19, , 2, , 
2023/10/30, 28, 22, , 10, , 
2023/10/31, 24, 8, , 7, , 
2023/11/1, 14, 8, , , , 
2023/11/2, 16, 3, , , , 
2023/11/3, 6, 6, , , , 
2023/11/4, 15, 6, , , , 
2023/11/5, 20, 5, , , , 
2023/11/6, 14, 4, , , , 
2023/11/7, 8, 8, , , , 
2023/11/8, 16, 8, , , , 
2023/11/9, 18, 8, , , , 
2023/11/10, 23, 8, , , , 
2023/11/11, 24, 9, , , , 
2023/11/12, 27, 6, , , , 
2023/11/13, 13, 7, , , , 
2023/11/14, 16, 7, , , , 
2023/11/15, 16, 9, , , , 
2023/11/16, 21, 6, , 22, , 
2023/11/17, 19, 4, , 11, , 
2023/11/18, 10, 3, , 5, , 
2023/11/19, 7, 2, , 15, , 
2023/11/20, 5, 6, , 24, , 
2023/11/21, 12, 5, , 2, , 
2023/11/22, 7, 6, , 2, , 
2023/11/23, 13, 6, , 7, , 
2023/11/24, 13, 7, , 15, , 
